ADM_CD,행정동명,충전소수,충전기수,지역,위도,경도
31110540,부림동,3,84,경기,37.4327400010172,126.99869263773672
31110550,과천동,21,50,경기,37.448440085689505,127.0105824846348
31110560,문원동,22,123,경기,37.43355259788507,127.00721289273393
31120510,갈매동,58,234,경기,37.63308057371455,127.11930271581711
31120520,동구동,46,198,경기,37.61319276883336,127.14015713701939
31120530,인창동,37,107,경기,37.60674020517579,127.13473568666984
31120540,교문1동,30,64,경기,37.59460708803583,127.13079747855755
31120550,교문2동,11,68,경기,37.59023897110543,127.13571019609336
31120560,수택1동,16,50,경기,37.59773012976305,127.14704896397411
31120570,수택2동,25,67,경기,37.59573492605665,127.14005358540999
31120580,수택3동,29,112,경기,37.588040145223275,127.14259461761837
31130110,와부읍,48,302,경기,37.584758420117524,127.21926282766698
31130111,화도읍,135,460,경기,37.65251052375607,127.30276815790651
31130120,진접읍,123,436,경기,37.724353268924524,127.19689869949609
31130140,진건읍,30,79,경기,37.659015228142,127.18006503399835
31130150,오남읍,83,238,경기,37.6905217305051,127.20633975987354
31130160,퇴계원읍,28,82,경기,37.65347769382087,127.14468067293045
31130310,별내면,38,105,경기,37.705957002906835,127.11833724199609
31130340,수동면,19,41,경기,37.72437961633034,127.30935784283986
31130350,조안면,6,9,경기,37.58144462505701,127.33044752845656
31130510,호평동,110,442,경기,37.65915354929451,127.24866877396666
31130520,평내동,81,233,경기,37.645795358438484,127.23891496536696
31130530,금곡동,31,70,경기,37.631367750722134,127.20756571329353
31130540,양정동,10,32,경기,37.613932627034515,127.17806873157825
31130570,별내동,121,533,경기,37.656485642074266,127.12252296807792
31130580,다산1동,108,518,경기,37.6187497953675,127.15507112614918
31130590,다산2동,68,307,경기,37.60378501934582,127.16886508354918
31140510,중앙동,48,197,경기,37.15371693407356,127.07837087287551
31140530,남촌동,29,82,경기,37.157030975998204,127.05705906188169
31140550,세마동,36,154,경기,37.19009202796204,127.03962078477286
31140560,초평동,23,112,경기,37.13961250315669,127.04542906653082
31140571,신장1동,46,137,경기,37.172208900136226,127.05417714219786
31140572,신장2동,33,124,경기,37.17064427083168,127.06547695423984
